plateID,wellID,treatment,cellAgeDays,cellAgeWeeks,seedAgeDays,seedAgeWeeks,techRepeatNum,RtArea,RblankArea,CtArea,TEP,evomResistanceArea,measuredResistanceOnly,R1Area,R2Area,C1Area,C2Area,tau1,tau2,tau_r,tauRtCt,tauMEM,treatmentDateTime,fileName,measDate_NOVA,cellDensity,cultMediaAgeDays,devMediaAgeDays,t0,measStart,n,nFreq,fMin,fMax,fitCircuit,normalizeData,target_tau_ratio,lambda_penalty,initialGuessMethod,gridSize,totalRandomGuesses,alpha,exitflag,resnorm,firstorderopt,idx_best_fit,total_random_guesses,smooth_freq_data,smooth_percentage,signal_threshold,minY,R1pR2,medianSdSignal,phaseAngleMax,fitDate,lookup_table_name,measID,tissueID,Var1,plateWellIDs,treatDate,treatTime,cultMediaID,cultMediaDate,cultApVol,cultBaVol,measArea,deviceID,devApVol,devBaVol,devTempC,devMediaID,devMediaDate,carrier,carrierREF,cellOrigin,cellType,cellLine,cellVariant,cellClone,cellDisease,cellPassage,diffDayFrozen,diffFrozenID,diffBy,seedDensity,seedDate,notes,tag,cellSeedDate,nRtArea,nCtArea,nRblankArea,nR1Area,nR2Area,nC1Area,nC2Area,rTEP,meas_number,is_final_meas_of_day
RPEmedia_1TW_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,NaN,17.07747717,NaN,-0.007173729,17.07747717,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaT,RPEmedia_1TW_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,6.603217983,6.603217983,1,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,1,13.26213894,8.72968364262761e-13,240,15,1,0.001,-9.7941,-1.32551291,4.0307010493852e-13,0.773628819,9.308058646,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmedia1TWd1chamber1channel15freq5sinefreq---A1-rep1-n1,00000000-RPEmedia1TWd1chamber1channel15freq5sinefreq---A1,8,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
RPEmedia_1TW_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,NaN,17.13440106,NaN,-0.007409477,17.13440106,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaT,RPEmedia_1TW_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,66.16223183,66.16223183,2,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,1,9.752377248,5.20694598549198e-14,243,15,1,0.001,-9.7941,-1.4507332,9.76349235722965e-09,0.783550729,6.230345686,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmedia1TWd1chamber1channel15freq5sinefreq---A1-rep1-n2,00000000-RPEmedia1TWd1chamber1channel15freq5sinefreq---A1,8,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
RPEmedia_1TW_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,NaN,17.09969586,NaN,-0.007500076,17.09969587,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaT,RPEmedia_1TW_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,126.1322507,126.1322507,3,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,1,16.98531799,4.58893478771927e-10,242,15,1,0.001,-9.7941,-0.699742066,1.17428037608759e-09,0.793472639,5.478197042,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmedia1TWd1chamber1channel15freq5sinefreq---A1-rep1-n3,00000000-RPEmedia1TWd1chamber1channel15freq5sinefreq---A1,8,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,1
RPEmedia_TW1-1_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,667.0493453,20.33445841,4.10170679743525e-06,-0.005468941,654.986188,0,615.8693567,51.17998866,4.27714430943005e-06,9.99990919166728e-05,0.002634162,0.005117952,1.942914737,0.002736041,0.004927381,NaT,RPEmedia_TW1-1_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,6.615213983,6.615213983,1,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,3,0.0010288,7.44296185524689e-07,234,15,1,0.001,-9.7941,-297.1551288,595.5797726,14.71442292,70.53309396,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmediaTW11d1chamber1channel15freq5sinefreq---A1-rep1-n1,00000000-RPEmediaTW11d1chamber1channel15freq5sinefreq---A1,4,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
RPEmedia_TW1-1_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,661.1191988,20.39140293,4.10703362381433e-06,-0.006027603,650.3086611,0,612.1845547,48.93464409,4.28293915954347e-06,9.99978486412304e-05,0.002621949,0.004893359,1.866305849,0.002715239,0.004725234,NaT,RPEmedia_TW1-1_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,66.43523683,66.43523683,2,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,3,0.001314608,2.31697459800119e-06,232,15,1,0.001,-9.7941,-292.83999,590.2849989,14.62963717,70.27486126,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmediaTW11d1chamber1channel15freq5sinefreq---A1-rep1-n2,00000000-RPEmediaTW11d1chamber1channel15freq5sinefreq---A1,4,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
RPEmedia_TW1-1_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,651.6561631,20.36795678,4.11234983795329e-06,-0.006171036,642.1206388,0,47.84009885,603.8160643,9.99976488178999e-05,4.28872120425889e-06,0.004783897,0.002589599,1.847350825,0.002679838,0.004622807,NaT,RPEmedia_TW1-1_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,126.6982627,126.6982627,3,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,3,0.001118687,2.67757846742107e-06,93,15,1,0.001,-9.7941,-287.6369461,581.8358599,14.54485143,70.18641133,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmediaTW11d1chamber1channel15freq5sinefreq---A1-rep1-n3,00000000-RPEmediaTW11d1chamber1channel15freq5sinefreq---A1,4,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,1
RPEmedia_TW2-1_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,594.0268488,21.33842689,3.66660118088756e-06,-0.005451012,596.2357785,0,550.2228815,43.80396733,3.80615861057541e-06,9.99994460158518e-05,0.002094236,0.004380372,2.091633126,0.00217806,0.004211791,NaT,RPEmedia_TW2-1_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,6.661215983,6.661215983,1,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,3,0.001042438,6.41734487376336e-07,121,15,1,0.001,-9.7941,-261.1224929,530.381115,12.70051204,68.89240246,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmediaTW21d1chamber1channel15freq5sinefreq---A1-rep1-n1,00000000-RPEmediaTW21d1chamber1channel15freq5sinefreq---A1,3,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
RPEmedia_TW2-1_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,589.5557919,21.49039609,3.67385918603151e-06,-0.005814552,592.4232444,0,546.7815911,42.77420077,3.81398012726438e-06,9.99995132961988e-05,0.002085414,0.004277399,2.051103046,0.002165945,0.004118364,NaT,RPEmedia_TW2-1_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,66.21223683,66.21223683,2,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,3,0.001136624,6.46577551034824e-06,234,15,1,0.001,-9.7941,-260.0436385,526.3890999,12.75844561,68.4655394,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmediaTW21d1chamber1channel15freq5sinefreq---A1-rep1-n2,00000000-RPEmediaTW21d1chamber1channel15freq5sinefreq---A1,3,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
RPEmedia_TW2-1_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,584.3752631,21.66769335,3.67757137925379e-06,-0.005987549,588.0428673,0,542.8760181,41.49924506,3.81798142180515e-06,9.99992518214408e-05,0.002072691,0.004149893,2.002177052,0.002149082,0.004002381,NaT,RPEmedia_TW2-1_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,125.7632507,125.7632507,3,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,3,0.000984078,4.2430257711952e-06,239,15,1,0.001,-9.7941,-257.8868042,521.7636278,12.70051204,68.66773207,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmediaTW21d1chamber1channel15freq5sinefreq---A1-rep1-n3,00000000-RPEmediaTW21d1chamber1channel15freq5sinefreq---A1,3,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,1
RPEmedia_TW3-1_d1_chamber1_channel1_5freq5sine_freq,A1,,0,0,0,0,1,499.5741407,21.83085202,3.76867167626443e-06,-0.004370499,509.6853448,0,464.8273176,34.74682305,3.91626494545263e-06,9.99985762078056e-05,0.001820387,0.003474633,1.908733125,0.001882731,0.003359575,NaT,RPEmedia_TW3-1_d1_chamber1_channel1_5freq5sine_freq,23-Sep-24,NaN,NaN,NaN,6.597220983,6.597220983,1,64,5.2466,50000,RCRC,1,1,1,grid,3,15,1,3,0.001430425,1.31583220419267e-06,213,15,1,0.001,-9.7941,-219.7577291,446.0483399,10.61331918,67.14038091,9/25/24 12:38,20240923_WPIbioExp2 Lookup Table,00000000-RPEmediaTW31d1chamber1channel15freq5sinefreq---A1-rep1-n1,00000000-RPEmediaTW31d1chamber1channel15freq5sinefreq---A1,10,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
