plateID,wellID,treatment,cellAgeDays,cellAgeWeeks,seedAgeDays,seedAgeWeeks,techRepeatNum,RtArea,RblankArea,CtArea,TEP,evomResistanceArea,measuredResistanceOnly,R1Area,R2Area,C1Area,C2Area,tau1,tau2,tau_r,tauRtCt,tauMEM,treatmentDateTime,fileName,measDate_NOVA,cellDensity,cultMediaAgeDays,devMediaAgeDays,t0,measStart,n,nFreq,fMin,fMax,fitCircuit,normalizeData,target_tau_ratio,lambda_penalty,initialGuessMethod,gridSize,totalRandomGuesses,alpha,exitflag,resnorm,firstorderopt,idx_best_fit,total_random_guesses,smooth_freq_data,smooth_percentage,signal_threshold,minY,R1pR2,medianSdSignal,phaseAngleMax,fitDate,lookup_table_name,measID,tissueID,Var1,plateWellIDs,treatDate,treatTime,cultMediaID,cultMediaDate,cultApVol,cultBaVol,measArea,deviceID,devApVol,devBaVol,devTempC,devMediaID,devMediaDate,carrier,carrierREF,cellOrigin,cellType,cellLine,cellVariant,cellClone,cellDisease,cellPassage,diffDayFrozen,diffFrozenID,diffBy,seedDensity,seedDate,notes,tag,cellSeedDate,nRtArea,nCtArea,nRblankArea,nR1Area,nR2Area,nC1Area,nC2Area,rTEP,meas_number,is_final_meas_of_day
16HBEmedia_8TW_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,NaN,1.33661343372278e-07,NaN,-0.043540232,5.70166613119543e-07,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaT,16HBEmedia_8TW_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,7.656232981,7.656232981,1,29,2,50000,RCRC,1,1,1,grid,3,15,1,1,2.741192711,5.87975446934419e-10,106,15,1,0.001,-9.7941,-187.1850362,3.8973684798863e-07,310.5747953,177.2898762,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-16HBEmedia8TWd1chamber1channel1freq---A1-rep1-n1,00000000-16HBEmedia8TWd1chamber1channel1freq---A1,2,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
16HBEmedia_8TW_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,NaN,7.7587674878655e-11,NaN,-0.042843066,7.75887355926822e-11,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaT,16HBEmedia_8TW_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,39.6728289,39.6728289,2,29,2,50000,RCRC,1,1,1,grid,3,15,1,1,2.867407347,1.55454863634686e-14,212,15,1,0.001,-9.7941,-145.0719663,9.47066095766138e-16,293.0313901,174.1732379,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-16HBEmedia8TWd1chamber1channel1freq---A1-rep1-n2,00000000-16HBEmedia8TWd1chamber1channel1freq---A1,2,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
16HBEmedia_8TW_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,NaN,1.19945927818332e-08,NaN,-0.041113442,3.59239323818239e-08,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaT,16HBEmedia_8TW_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,70.92045582,70.92045582,3,29,2,50000,RCRC,1,1,1,grid,3,15,1,1,2.750838754,1.93629973945451e-11,1,15,1,0.001,-9.7941,-377.2384537,2.1365481785706e-08,310.5747953,166.7251005,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-16HBEmedia8TWd1chamber1channel1freq---A1-rep1-n3,00000000-16HBEmedia8TWd1chamber1channel1freq---A1,2,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
16HBEmedia_8TW_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,77.60505431,0.036134706,1.25300052905532e-07,-0.034742175,77.1790029,0,34.80649717,42.79855714,4.24352931585103e-05,1.25671126075384e-07,0.001477024,5.37854287047187e-06,274.6141375,9.72391741122908e-06,0.000816979,NaT,16HBEmedia_8TW_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,7.675230981,7.675230981,4,29,2,50000,RCRC,1,1,1,grid,3,15,1,3,3.173656493,1.68453568891169e-06,204,15,1,0.001,-9.7941,-830.4946542,69.29022707,359.8589399,174.8847408,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-16HBEmedia8TWd1chamber1channel1freq---A1-rep1-n4,00000000-16HBEmedia8TWd1chamber1channel1freq---A1,2,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
16HBEmedia_8TW_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,88.25471834,0.079371189,4.30248731178893e-08,-0.035989621,88.32550822,0,74.25965567,13.99506268,4.31071978481876e-08,2.25288526444855e-05,3.20112566904632e-06,0.000315293,98.49432274,3.79714805882982e-06,0.000265803,NaT,16HBEmedia_8TW_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,39.1918219,39.1918219,5,29,2,50000,RCRC,1,1,1,grid,3,15,1,3,4.165001482,2.70923986294416e-05,149,15,1,0.001,-9.7941,-365.9531374,78.79885566,347.5389283,176.7426508,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-16HBEmedia8TWd1chamber1channel1freq---A1-rep1-n5,00000000-16HBEmedia8TWd1chamber1channel1freq---A1,2,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
16HBEmedia_8TW_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,61.35268785,1.85656191683704e-08,1.57136962000789e-07,-0.036031141,57.67882897,0,61.35268746,3.91304076594785e-07,5.2375664793306e-05,1.57609821459919e-07,0.003213388,6.16733656486425e-14,52103331134,9.64077497947718e-06,2.05564843825231e-11,NaT,16HBEmedia_8TW_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,70.57840882,70.57840882,6,29,2,50000,RCRC,1,1,1,grid,3,15,1,3,3.468197548,1.80472335983861e-06,77,15,1,0.001,-9.7941,-460.7643231,54.77918558,352.2245496,164.6870899,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-16HBEmedia8TWd1chamber1channel1freq---A1-rep1-n6,00000000-16HBEmedia8TWd1chamber1channel1freq---A1,2,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,1
16HBEmedia_8TWclean_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,NaN,4.30084446,NaN,-0.027077293,4.300844461,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaT,16HBEmedia_8TWclean_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,6.772218983,6.772218983,4,29,2,50000,RCRC,1,1,1,grid,3,15,1,1,3.587032259,7.50622675127488e-09,238,15,1,0.001,-9.7941,-1.655617022,3.840027607,1.536014255,65.81489265,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-16HBEmedia8TWcleand1chamber1channel1freq---A1-rep1-n4,00000000-16HBEmedia8TWcleand1chamber1channel1freq---A1,3,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
16HBEmedia_8TWclean_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,NaN,4.483206632,NaN,-0.026312828,4.483206632,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaT,16HBEmedia_8TWclean_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,37.44279691,37.44279691,5,29,2,50000,RCRC,1,1,1,grid,3,15,1,1,2.966121112,2.49689158238198e-13,238,15,1,0.001,-9.7941,-1.521591351,4.00286175,1.237738099,63.52991816,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-16HBEmedia8TWcleand1chamber1channel1freq---A1-rep1-n5,00000000-16HBEmedia8TWcleand1chamber1channel1freq---A1,3,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
16HBEmedia_8TWclean_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,NaN,4.219549966,NaN,-0.025643158,4.219549966,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaT,16HBEmedia_8TWclean_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,67.98336983,67.98336983,6,29,2,50000,RCRC,1,1,1,grid,3,15,1,1,5.066152326,2.10720330073855e-13,229,15,1,0.001,-9.7941,-1.264251228,3.767455327,1.236505356,70.46916689,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-16HBEmedia8TWcleand1chamber1channel1freq---A1-rep1-n6,00000000-16HBEmedia8TWcleand1chamber1channel1freq---A1,3,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1.12,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,1
noSoln_modelCell_d1_chamber1_channel1_freq,A1,,0,0,0,0,1,992.7247758,96.65064737,1.00164731723971e-06,-0.0003479,1083.034673,0,990.7391911,1.985584689,1.03141548769599e-06,3.47053426654954e-05,0.001021864,6.89103970398674e-05,14.82887619,0.00099436,7.08164334616099e-05,NaT,noSoln_modelCell_d1_chamber1_channel1_freq,10-Dec-24,NaN,NaN,NaN,5.984247985,5.984247985,1,29,2,50000,RCRC,1,1,1,grid,3,15,1,3,0.000108702,9.04277820043872e-05,236,15,1,0.001,-9.7941,-490.7151075,992.7247758,43.74058979,56.20909006,12/11/24 12:51,20241210_bubbleData Lookup Table,00000000-noSolnmodelCelld1chamber1channel1freq---A1-rep1-n1,00000000-noSolnmodelCelld1chamber1channel1freq---A1,1,A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12,,0:00:00,,NaT,,,1,,,,,,NaT,,,,,,,,,,,,,,,,none,,0,0,0,0,0,0,0,0,0,0
